tip.name	current.accepted.name	duplicated
Lycianthes_amatitlanensis	Lycianthes_amatitlanensis	no
Lycianthes_asarifolia	Lycianthes_asarifolia	no
Lycianthes_beckneriana	Lycianthes_beckneriana	no
Lycianthes_biflora	Lycianthes_biflora	no
Lycianthes_ciliolata	Lycianthes_ciliolata	no
Lycianthes_dejecta	Lycianthes_dejecta	no
Lycianthes_denticulata	Lycianthes_denticulata	no
Lycianthes_fasciculata	Lycianthes_fasciculata	no
Lycianthes_furcatistellata	Lycianthes_furcatistellata	no
Lycianthes_geminiflora	Lycianthes_geminiflora	no
Lycianthes_glandulosa	Lycianthes_glandulosa	no
Lycianthes_heteroclita	Lycianthes_heteroclita	no
Lycianthes_inaequilatera	Lycianthes_inaequilatera	no
Lycianthes_jalicensis	Lycianthes_jalicensis	no
Lycianthes_jelskii	Lycianthes_jelskii	no
Lycianthes_lenta	Lycianthes_lenta	no
Lycianthes_lycioides	Lycianthes_lycioides	no
Lycianthes_lysimachioides	Lycianthes_lysimachioides	no
Lycianthes_moziniana	Lycianthes_moziniana	no
Lycianthes_multiflora	Lycianthes_multiflora	no
Lycianthes_nitida	Lycianthes_nitida	no
Lycianthes_peduncularis	Lycianthes_peduncularis	no
Lycianthes_pringlei	Lycianthes_pringlei	no
Lycianthes_pseudolycioides	Lycianthes_pauciflora	no
Lycianthes_radiata	Lycianthes_radiata	no
Lycianthes_rantonnei	Lycianthes_rantonnei	no
Lycianthes_rzedowskii	Lycianthes_rzedowskii	no
Lycianthes_saltensis	Lycianthes_fasciculata	yes
Lycianthes_sanctaeclarae	Lycianthes_sanctaeclarae	no
Lycianthes_shanesii	Lycianthes_shanesii	no
Lycianthes_stephanocalyx	Lycianthes_stephanocalyx	no
Lycianthes_surotatensis	Lycianthes_surotatensis	no
Lycianthes_synanthera	Lycianthes_synanthera	no
Lycianthes_tricolor	Lycianthes_tricolor	no
Lycium_acutifolium	Lycium_acutifolium	no
Lycium_afrum	Lycium_afrum	no
Lycium_ameghinoi	Lycium_ameghinoi	no
Lycium_americanum	Lycium_americanum	no
Lycium_amoenum	Lycium_amoenum	no
Lycium_andersonii	Lycium_andersonii	no
Lycium_arenicola	Lycium_arenicola	no
Lycium_athium	Lycium_athium	no
Lycium_australe	Lycium_australe	no
Lycium_barbarum	Lycium_barbarum	no
Lycium_berlandieri	Lycium_berlandieri	no
Lycium_boerhaviifolium	Lycium_boerhaviifolium	no
Lycium_bosciifolium	Lycium_bosciifolium	no
Lycium_brevipes	Lycium_brevipes	no
Lycium_californicum	Lycium_californicum	no
Lycium_carolinianum	Lycium_carolinianum	no
Lycium_cestroides	Lycium_cestroides	no
Lycium_chanar	Lycium_chanar	no
Lycium_chilense	Lycium_chilense	no
Lycium_chinense	Lycium_chinense	no
Lycium_ciliatum	Lycium_ciliatum	no
Lycium_cinereum	Lycium_cinereum	no
Lycium_cooperi	Lycium_cooperi	no
Lycium_cuneatum	Lycium_cuneatum	no
Lycium_dasystemum	Lycium_dasystemum	no
Lycium_decumbens	Lycium_decumbens	no
Lycium_depressum	Lycium_depressum	no
Lycium_deserti	Lycium_deserti	no
Lycium_duplicatum	Lycium_not_a_name	yes
Lycium_eenii	Lycium_eenii	no
Lycium_elongatum	Lycium_elongatum	no
Lycium_europaeum	Lycium_europaeum	no
Lycium_exsertum	Lycium_exsertum	no
Lycium_ferocissimum	Lycium_ferocissimum	no
Lycium_fremontii	Lycium_fremontii	no
Lycium_fuscum	Lycium_fuscum	no
Lycium_gariepense	Lycium_gariepense	no
Lycium_gilliesianum	Lycium_gilliesianum	no
Lycium_grandicalyx	Lycium_grandicalyx	no
Lycium_hirsutum	Lycium_hirsutum	no
Lycium_horridum	Lycium_horridum	no
Lycium_infaustum	Lycium_infaustum	no
Lycium_macrodon	Lycium_macrodon	no
Lycium_microphyllum	Lycium_microphyllum	no
Lycium_minimum	Lycium_minimum	no
Lycium_minutifolium	Lycium_minutifolium	no
Lycium_morongii	Lycium_morongii	no
Lycium_nodosum	Lycium_nodosum	no
Lycium_oxycarpum	Lycium_oxycarpum	no
Lycium_pallidum	Lycium_pallidum	no
Lycium_parishii	Lycium_parishii	no
Lycium_pilifolium	Lycium_pilifolium	no
Lycium_puberulum	Lycium_puberulum	no
Lycium_pumilum	Lycium_pumilum	no
Lycium_rachidocladum	Lycium_rachidocladum	no
Lycium_ruthenicum	Lycium_ruthenicum	no
Lycium_sandwicense	Lycium_carolinianum	yes
Lycium_schizocalyx	Lycium_schizocalyx	no
Lycium_schweinfurthii	Lycium_schweinfurthii	no
Lycium_shawii	Lycium_shawii	no
Lycium_shockleyi	Lycium_shockleyi	no
Lycium_stenophyllum	Lycium_stenophyllum	no
Lycium_strandveldense	Lycium_strandveldense	no
Lycium_tenue	Lycium_tenue	no
Lycium_tenuispinosum	Lycium_tenuispinosum	no
Lycium_tetrandrum	Lycium_tetrandrum	no
Lycium_texanum	Lycium_texanum	no
Lycium_torreyi	Lycium_torreyi	no
