FULLNAME,CLADE1,CLADE2,,,
Solanum cheesmaniae (L.Riley) Fosberg,Potato,Tomato,,,
Solanum chenopodinum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum chenopodioides Lam.,Morelloid,Section Solanum,,,
Solanum chiapasense K.E.Roe,Brevantherum,Brevantherum s.s.,,,
Solanum chilense (Dunal) Reiche,Potato,Tomato,,,
Solanum chillagoense (Domin) A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum chilliasense Ochoa,Potato,Petota,,,
Solanum chimborazense Bitter & Sodiro,Potato,Anarrhichomenum,,,
Solanum chippendalei Symon,Leptostemonum,EHS-Australia,,,
Solanum chiquidenum Ochoa,Potato,Petota,,,
Solanum chlamydogynum Bitter,Geminata,Geminata,,,
Solanum chmielewskii (C.M.Rick, Kesicki, Fobes & M.Holle) D.M.Spooner, G.J.Anderson & R.K.Jansen,Potato,Tomato
Solanum chomatophilum Bitter,Potato,Petota,,,
Solanum chrysotrichum Schltdl.,Leptostemonum,Torva,,,
Solanum cinereum R.Br.,Leptostemonum,EHS-Australia,,,
Solanum cinnamomeum Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum citrinum M.Nee,Leptostemonum,Acanthophora,,,
Solanum citrullifolium A.Braun,Leptostemonum,Androceras-Crinitum,,,
Solanum cladotrichum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum clandestinum Bohs,Mapiriense,Mapiriense,,,
Solanum clarkiae Symon,Leptostemonum,EHS-Australia,,,
Solanum clarum Correll,Potato,Petota,,,
Solanum clathratum Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum cleistogamum Symon,Leptostemonum,EHS-Australia,,,
Solanum clivorum S.Knapp,Geminata,Geminata,,,
Solanum coactiliferum J.M.Black,Leptostemonum,EHS-Australia,,,
Solanum coagulans Forssk.,Leptostemonum,EHS-Africa,,,
Solanum coalitum S.Knapp,Dulcamaroid,Nitidum,,,
Solanum cobanense J.L.Gentry,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum cochabambense Bitter,Morelloid,Section Solanum,,,
Solanum cochoae G.J.Anderson & Bernardello,Potato,Basarthrum,,,
Solanum cocosoides A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum colombianum Dunal,Potato,Petota,,,
Solanum comarapanum M.Nee,Leptostemonum,Torva,,,
Solanum comitis Dunal,Leptostemonum,EHS-Tropical Asia,,,
Solanum commersonii Poir.,Potato,Petota,,,
Solanum complectens M.Nee & G.J.Anderson,Potato,Anarrhichomenum,,,
Solanum compressum L.B.Sm. & Downs,Geminata,Geminata,,,
Solanum comptum C.V.Morton,Leptostemonum,Carolinense,,,
Solanum concarense Hunz.,Morelloid,Section Solanum,,,
Solanum concinnum Schott ex Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum confertiseriatum Bitter,Geminata,Geminata,,,
Solanum confine Dunal,Geminata,Geminata,,,
Solanum confusum C.V.Morton,Cyphomandra,Cyphomandropsis,,,
Solanum conglobatum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum conicum Ruiz & Pav.,Potato,Pteroidea,,,
Solanum conocarpum Dunal,Geminata,Geminata,,,
Solanum consimile C.V.Morton,Leptostemonum,Torva,,,
Solanum contumazaense Ochoa,Potato,Petota,,,
Solanum cookii Symon,Leptostemonum,EHS-Australia,,,
Solanum coquimbense J.R.Benn.,Potato,Regmandra,,,
Solanum coracinum Symon,Leptostemonum,EHS-Australia,,,
Solanum cordatum Forssk.,Leptostemonum,EHS-Asia  ,,,
Solanum cordicitum S.Stern,Leptostemonum,Androceras-Crinitum,,,
Solanum cordifolium Dunal,Leptostemonum,Erythrotrichum,,,
Solanum cordioides S.Knapp,Geminata,Geminata,,,
Solanum cordovense Sess? & Moc.,Brevantherum,Brevantherum s.s.,,,
Solanum coriaceum Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum corifolium F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum corneliomulleri J.F.Macbr.,Potato,Tomato,,,
Solanum cornifolium Dunal,Geminata,Geminata,,,
Solanum corumbense S.Moore,Geminata,Geminata,,,
Solanum corymbiflorum (Sendtn.) Bohs,Cyphomandra,Pachyphylla,,,
Solanum corymbosum Jacq.,Morelloid,Radicans group,,,
Solanum costatum M.Nee,Leptostemonum,Erythrotrichum,,,
Solanum cowiei Martine,Leptostemonum,EHS-Australia,,,
Solanum crassinervium Tepe,Potato,Herpystichum,,,
Solanum crassitomentosum Domin,Leptostemonum,EHS-Australia,,,
Solanum crebrispinum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum crinitipes Dunal,Leptostemonum,Torva,,,
Solanum crinitum Lam.,Leptostemonum,Androceras-Crinitum,,,
Solanum crispum Ruiz & Pav.,Dulcamaroid,Nitidum,,,
Solanum croatii D'Arcy & R.C.Keating,Leptostemonum,EHS-Madagascar,,,
Solanum crotonifolium Dunal,Leptostemonum,Torva,,,
Solanum crotonoides Lam.,Leptostemonum,Crotonoides,,,
Solanum cruciferum Bitter,Geminata,Geminata,,,
Solanum cucullatum S.Knapp,Geminata,Geminata,,,
Solanum cunninghamii Benth.,Leptostemonum,EHS-Australia,,,
Solanum curtilobum Juz. & Bukasov,Potato,Petota,,,
Solanum curvicuspe Domin,Leptostemonum,EHS-Australia,,,
Solanum cutervanum Zahlbr.,Dulcamaroid,Nitidum,,,
Solanum cyaneopurpureum De Wild.,Leptostemonum,EHS-Africa,,,
Solanum cyanocarphium Blume,Leptostemonum,EHS-Tropical Asia,,,
Solanum cyathophorum M.Nee & Farruggia,Leptostemonum,Androceras-Crinitum,,,
Solanum cyclophyllum S.Knapp,Geminata,Geminata,,,
Solanum cylindricum Vell.,Cyphomandra,Pachyphylla,,,
Solanum cymbalariifolium Chiov.,Leptostemonum,EHS-Africa,,,
Solanum dalibardiforme Bitter,Potato,Herpystichum,,,
Solanum dallmannianum Warb.,Leptostemonum,EHS-New Guinea,,,
Solanum dammerianum Lauterb. & K.Schum.,Leptostemonum,Torva,,,
Solanum daphnophyllum Bitter,Geminata,Geminata,,,
Solanum darienense S.Knapp,Geminata,Geminata,,,
Solanum dasyanthum Brandegee,Leptostemonum,Gardneri,,,
Solanum dasyneuron S.Knapp,Geminata,Geminata,,,
Solanum dasyphyllum Schumach. & Thonn.,Leptostemonum,EHS-Africa,,,
Solanum davidsei Carvalho,Brevantherum,Brevantherum s.s.,,,
Solanum davisense Whalen,Leptostemonum,Androceras-Crinitum,,,
Solanum decompositiflorum Sendtn.,Leptostemonum,Erythrotrichum,,,
Solanum decorum Sendtn.,Leptostemonum,Erythrotrichum,,,
Solanum defensum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum deflexicarpum C.Y.Wu & S.C.Huang,Leptostemonum,EHS-Tropical Asia,,,
Solanum deflexiflorum Bitter,Geminata,Geminata,,,
Solanum deflexum Greenm.,Brevantherum,Gonatotrichum,,,
Solanum delicatulum L.B.Sm. & Downs,Geminata,Geminata,,,
Solanum delitescens C.V.Morton,Geminata,Reductum,,,
Solanum demissum Lindl.,Potato,Petota,,,
Solanum dendroicum O.E.Schulz & Ekman,Leptostemonum,Crotonoides,,,
Solanum dennekense Dammer,Leptostemonum,EHS-Africa,,,
Solanum denseaculeatum Symon,Leptostemonum,EHS-New Guinea,,,
Solanum densevestitum F.Muell. ex Benth.,Leptostemonum,EHS-Australia,,,
Solanum depauperatum Dunal,Leptostemonum,Thomasiifolium,,,
Solanum diamantinense Agra,Leptostemonum,Erythrotrichum,,,
Solanum dianthum Rusby,Morelloid,Section Solanum,,,
Solanum dichroandrum Dunal,Dulcamaroid,South American,,,
Solanum didymum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum dillonii S.Knapp,Brevantherum,Brevantherum s.s.,,,
Solanum dimidiatum Raf.,Leptostemonum,Carolinense,,,
Solanum dimorphandrum S.Knapp,Thelopodium,Thelopodium,,,
Solanum dimorphispinum C.T.White,Leptostemonum,EHS-Australia,,,
Solanum dioicum W.Fitzg.,Leptostemonum,EHS-Australia,,,
Solanum diphyllum L. [4],Geminata,Geminata,,,
Solanum diploconos (Mart.) Bohs,Cyphomandra,Pachyphylla,,,
Solanum discolor R.Br.,Leptostemonum,EHS-Australia,,,
Solanum dissectum Symon,Leptostemonum,EHS-Australia,,,
Solanum dissimile C.V.Morton,Geminata,Geminata,,,
Solanum distichophyllum Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum ditrichum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum diversiflorum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum diversifolium Dunal,Cyphomandra,Pachyphylla,,,
Solanum dolichocremastrum Bitter,Potato,Petota,,,
Solanum dolichorhachis Bitter,Potato,Herpystichum,,,
Solanum dolichosepalum Bitter,Leptostemonum,Torva,,,
Solanum dolosum S.Knapp,Geminata,Geminata,,,
Solanum donianum Walp.,Leptostemonum,Torva,,,
Solanum douglasii Dunal,Morelloid,Section Solanum,,,
Solanum dryanderense A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum dulcamara L.,Dulcamaroid,Dulcamaroid,,,
Solanum dulcamaroides Poir.,Dulcamaroid,South American,,,
Solanum dumicola A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum dunalianum Gaudich.,Leptostemonum,EHS-Dunaliana,,,
Solanum dysprosium A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum eardleyae Symon,Leptostemonum,EHS-Australia,,,
Solanum eburneum Symon,Leptostemonum,EHS-Australia,,,
Solanum echegarayi Hieron.,Morelloid,Episarcophyllum,,,
Solanum echinatum R.Br.,Leptostemonum,EHS-Australia,,,
Solanum edmondstonii Hook.f.,Potato,Regmandra,,,
Solanum edmundoi Cuevas & N.M.NÏÐez,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum ehrenbergii (Bitter) Rydb.,Potato,Petota,,,
Solanum eitenii Agra,Leptostemonum,Erythrotrichum,,,
Solanum elachophyllum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum elaeagnifolium Cav.,Leptostemonum,Elaeagnifolium,,,
Solanum elatius A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum elegans Dunal,,,,,
Solanum ellipticum R.Br.,Leptostemonum,EHS-Australia,,,
Solanum elvasioides S.Knapp,Geminata,Geminata,,,
Solanum eminens A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum emmottii A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum emulans Raf.,Morelloid,Section Solanum,,,
Solanum enantiophyllanthum Bitter,Morelloid,Section Solanum,,,
Solanum endoadenium Bitter,Dulcamaroid,South American,,,
Solanum endopogon (Bitter) Bohs,Cyphomandra,Pachyphylla,,,
Solanum ensifolium Dunal,Leptostemonum,Bahamense,,,
Solanum eremophilum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum erianthum D.Don,Brevantherum,Brevantherum s.s.,,,
